"","files","authors","commits","days","conflicts","complex","bic"
"11269",333,26,108,21,9,"TRUE","FALSE"
"11272",15,3,4,1,1,"FALSE","FALSE"
"11283",490,17,64,10,2,"TRUE","FALSE"
"11291",933,18,240,13,3,"TRUE","FALSE"
"11293",349,19,106,7,2,"TRUE","FALSE"
"11296",221,19,57,7,1,"TRUE","FALSE"
"11297",3870,64,701,170,34,"TRUE","FALSE"
"11307",454,6,98,2,1,"TRUE","FALSE"
"11311",261,14,39,8,2,"TRUE","FALSE"
"11313",93,12,28,1,1,"TRUE","FALSE"
"11315",3790,21,114,14,11,"TRUE","FALSE"
"11324",4108,43,613,151,4,"TRUE","FALSE"
"11328",11525,3,52,1,1,"TRUE","FALSE"
"11334",68,12,18,4,1,"TRUE","FALSE"
"11343",1507,24,184,31,2,"TRUE","FALSE"
"11344",92,7,17,3,1,"TRUE","FALSE"
"11365",674,36,219,23,1,"TRUE","FALSE"
"11366",182,5,80,7,1,"TRUE","FALSE"
"11368",203,5,81,5,5,"TRUE","FALSE"
"11373",199,23,48,20,4,"TRUE","FALSE"
"11377",10173,31,551,87,1,"TRUE","FALSE"
"11381",35,2,7,2,1,"TRUE","FALSE"
"11384",629,14,39,9,4,"TRUE","FALSE"
"11385",1157,6,36,29,3,"TRUE","FALSE"
"11421",89,9,18,4,1,"TRUE","FALSE"
"11424",1325,59,340,64,15,"TRUE","FALSE"
"11428",972,12,90,24,9,"TRUE","TRUE"
"11434",6523,7,12,3,27,"TRUE","TRUE"
"11440",825,29,124,19,1,"TRUE","FALSE"
"11444",42,4,47,7,1,"TRUE","FALSE"
"11446",1658,56,344,61,8,"TRUE","FALSE"
"11448",209,7,50,5,1,"TRUE","FALSE"
"11450",160,3,64,5,2,"TRUE","FALSE"
"11453",716,15,85,37,2,"TRUE","FALSE"
"11454",734,11,121,23,1,"TRUE","FALSE"
"11457",550,19,109,18,1,"TRUE","FALSE"
"11467",421,10,97,10,8,"TRUE","FALSE"
"11471",542,13,68,10,16,"TRUE","FALSE"
"11472",209,10,59,2,1,"TRUE","FALSE"
"11473",456,20,58,18,4,"TRUE","FALSE"
"11474",2332,52,385,92,11,"TRUE","FALSE"
"11477",5717,22,211,84,55,"TRUE","TRUE"
"11478",8952,65,627,121,55,"TRUE","TRUE"
"11490",4389,4,9,16,1,"TRUE","FALSE"
"11498",5099,14,59,12,42,"TRUE","FALSE"
"11499",41,2,4,0,1,"TRUE","FALSE"
"11500",5151,19,209,36,12,"TRUE","FALSE"
"11506",189,10,19,9,1,"TRUE","FALSE"
"11524",2,2,2,0,3,"FALSE","FALSE"
"11575",252,6,146,5,1,"TRUE","FALSE"
"11581",28,5,12,5,1,"FALSE","FALSE"
"11587",2,2,2,0,3,"FALSE","FALSE"
"11592",134,7,87,57,1,"TRUE","FALSE"
"11606",322,33,402,75,1,"TRUE","FALSE"
